,Precision,F2 Score,Recall,G-mean,Minority Weight
0,0.0,0.0,0.0,0.0,1
1,0.13043478260869565,0.022488755622188907,0.018633540372670808,0.1359698313715265,2
2,0.10204081632653061,0.03607503607503607,0.031055900621118012,0.1747040385329715,3
3,0.13793103448275862,0.10526315789473685,0.09937888198757763,0.3090183487568205,4
4,0.16336633663366337,0.19503546099290783,0.20496894409937888,0.43751790331961543,5
5,0.15548780487804878,0.2623456790123457,0.3167701863354037,0.5314644376736968,6
6,0.13852813852813853,0.28933092224231466,0.39751552795031053,0.5793459911079687,7
7,0.1354515050167224,0.3260869565217391,0.5031055900621118,0.6335476598953707,8
8,0.13509749303621169,0.356093979441997,0.6024844720496895,0.6753987329932019,9
9,0.132858837485172,0.37659717552118355,0.6956521739130435,0.704824668746996,10
