,Precision,F2 Score,Recall,G-mean,Sampling Size
0,0.5555555555555556,0.009701202949165695,0.00778816199376947,0.08823330872827155,0.1
1,0.18149466192170818,0.08950508950508951,0.0794392523364486,0.27866328802045326,0.2
2,0.16257309941520467,0.2030382705229331,0.21651090342679127,0.4487284887524241,0.3
3,0.14850798056904926,0.2668994761785981,0.3333333333333333,0.5416206086140596,0.4
4,0.13663663663663664,0.29894875164257556,0.4252336448598131,0.594583908622029,0.5
5,0.13383838383838384,0.3216019417475728,0.4953271028037383,0.6290315201827305,0.6
6,0.12905500705218617,0.3386380458919319,0.5700934579439252,0.6576064624061448,0.7
7,0.12856694888679837,0.3560882404029877,0.6386292834890965,0.6820149256971084,0.8
8,0.1286785920369302,0.3695724229366921,0.6947040498442367,0.6997287701997496,0.9
9,0.12695795548227534,0.37216046399226677,0.719626168224299,0.7043728354696845,1.0
