,Precision,F2 Score,Recall,G-mean,Minority Weight
0,0.8181818181818182,0.03474903474903475,0.028037383177570093,0.1674109326444916,1
1,0.7777777777777778,0.027068832173240524,0.021806853582554516,0.14764256484356983,2
2,0.8,0.030911901081916535,0.024922118380062305,0.1578365409569125,3
3,0.8888888888888888,0.030935808197989176,0.024922118380062305,0.1578519750293062,4
4,0.875,0.027089783281733743,0.021806853582554516,0.14765700209631483,5
5,0.9,0.0347758887171561,0.028037383177570093,0.16742730295036798,6
6,0.875,0.027089783281733743,0.021806853582554516,0.14765700209631483,7
7,0.8571428571428571,0.023237800154918668,0.018691588785046728,0.13670382041292606,8
8,0.875,0.027089783281733743,0.021806853582554516,0.14765700209631483,9
9,0.8,0.030911901081916535,0.024922118380062305,0.1578365409569125,10
