,Precision,F2 Score,Recall,G-mean,Sampling Size
0,0.14173228346456693,0.03339517625231911,0.028037383177570093,0.16654923188435752,0.1
1,0.1111111111111111,0.031238515251745685,0.0264797507788162,0.16164072138998015,0.2
2,0.1382488479262673,0.05385996409335727,0.04672897196261682,0.2141840013951153,0.3
3,0.1553030303030303,0.0723870056497175,0.06386292834890965,0.24994160099681345,0.4
4,0.13306451612903225,0.05859375000000001,0.0514018691588785,0.22432471045569868,0.5
5,0.1346704871060172,0.08056222146040452,0.07320872274143302,0.26654741946005767,0.6
6,0.1658291457286432,0.11126095751854348,0.102803738317757,0.3153845116869866,0.7
7,0.13318284424379231,0.09797409498505481,0.09190031152647975,0.29740659216716886,0.8
8,0.14225941422594143,0.11162179908076166,0.1059190031152648,0.3188635444506911,0.9
9,0.14388489208633093,0.12804097311139565,0.12461059190031153,0.3446918684896661,1.0
