,Precision,F2 Score,Recall,G-mean,Minority Weight
0,0.5,0.0019455252918287938,0.001557632398753894,0.03946492287490683,1
1,0.23076923076923078,0.017261219792865365,0.014018691588785047,0.1182268203762015,2
2,0.21476510067114093,0.05888847994111152,0.04984423676012461,0.22197786085374,3
3,0.19117647058823528,0.11176066024759285,0.10124610591900311,0.3138860245456166,4
4,0.1695108077360637,0.2161299680881926,0.23208722741433022,0.4642475344669742,5
5,0.163302752293578,0.24330235101148165,0.2772585669781931,0.5025346631759183,6
6,0.1549053356282272,0.31315240083507306,0.4205607476635514,0.600004111039168,7
7,0.149025069637883,0.33989834815756037,0.5,0.6406329348267623,8
8,0.14884979702300405,0.3448275862068965,0.514018691588785,0.6474597285472226,9
9,0.14774166314900802,0.3544662750658295,0.5451713395638629,0.6614952307380874,10
